.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
|----------|--------|----------------------------------------------------------|
|          |        |                                                          |
| NC004001 | A63231 | MTYP 004-001  Manual AIREP & ADS (AIREP)                 |
| NC004002 | A63232 | MTYP 004-002  Manual PIREP (PIREP)                       |
| NC004003 | A63233 | MTYP 004-003  Automated AMDAR (FM-42 AMDAR)              |
| NC004004 | A63234 | MTYP 004-004  Automated MDCRS (ARINC to NCEP) (BUFR)     |
| NC004005 | A63235 | MTYP 004-005  Flight level reconnaissance (RECCO)        |
| NC004006 | A55200 | MTYP 004-006  Automated European AMDAR (BUFR)            |
| NC004007 | A55201 | MTYP 004-007  Auto MDCRS (ARINC to AFWA to NCEP) (AIREP  |
| NC004008 | A55202 | MTYP 004-008  TAMDAR from MADIS (Mesaba) (NetCDF)        |
| NC004009 | A55203 | MTYP 004-009  Automated Canadian AMDAR (BUFR)            |
| NC004010 | A55204 | MTYP 004-010  TAMDAR from Panasonic (BUFR)               |
| NC004011 | A55205 | MTYP 004-011  Automated Korean AMDAR (BUFR)              |
| NC004012 | A55206 | MTYP 004-012  TAMDAR from MADIS (PenAir) (NetCDF)        |
| NC004013 | A55207 | MTYP 004-013  TAMDAR from MADIS (Chautauqua)(NetCDF)     |
| NC004014 | A55208 | MTYP 004-014  Automated French AMDAR (BUFR)              |
| NC004015 | A55209 | MTYP 004-015  High density recconnaissance obs (HDOB)    |
| NC004103 | A55210 | MTYP 004-103  All other automated AMDAR (BUFR)           |
|          |        |                                                          |
| YYMMDD   | 301011 | DATE -- YEAR, MONTH, DAY                                 |
| HHMM     | 301012 | TIME -- HOUR, MINUTE                                     |
| HHMMSS   | 301013 | TIME -- HOUR, MINUTE, SECOND                             |
| LTLONH   | 301021 | HIGH ACCURACY LATITUDE/LONGITUDE POSITION                |
| BID      | 352001 | BULLETIN ID DATA                                         |
| RAWRPT   | 352002 | RAW REPORT                                               |
| RCPTIM   | 352003 | REPORT RECEIPT TIME DATA                                 |
| FILENAME | 352004 | FILE NAME SEQUENCE                                       |
| ACRID    | 362015 | ACARS REPORT ID DATA                                     |
| ACSUP    | 362016 | ACARS SUPPLEMENTARY DATA                                 |
| ACTRB    | 362017 | ACARS TURBULENCE DATA                                    |
| ACMST2   | 362019 | ACARS MOISTURE DATA                                      |
| AFRID    | 362030 | AIRCRAFT REPORT ID DATA                                  |
| AFTMP    | 362032 | AIRCRAFT TEMPERATURE DATA                                |
| AFWND    | 362033 | AIRCRAFT WIND DATA                                       |
| AFMST    | 362034 | AIRCRAFT MOISTURE DATA                                   |
| AFICG    | 362035 | AIRCRAFT ICING DATA                                      |
| AFCLD    | 362036 | AIRCRAFT CLOUD DATA                                      |
| APTRB    | 362037 | PIREP TURBULENCE DATA                                    |
| APPWX    | 362038 | PIREP PRESENT WEATHER DATA                               |
| ARPHT    | 362039 | RECCO MANDATORY LEVEL PRESSURE/HEIGHT DATA               |
| ARSWD    | 362040 | RECCO SURFACE WIND DATA                                  |
