.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
|----------|--------|----------------------------------------------------------|
|          |        |                                                          |
| NC000011 | A63214 | MTYP 000-011 AFOS PRODUCTS (PRECIP) (SHEF)               |
|          |        |                                                          |
| YYMMDD   | 301011 | DATE -- YEAR, MONTH, DAY                                 |
| HHMM     | 301012 | TIME -- HOUR, MINUTE                                     |
| SHEFID   | 362091 | SHEF REPORT ID DATA                                      |
| SHEFPRC  | 362092 | SHEF PRECIP DATA                                         |
| SHEFTPA  | 362093 | SHEF MAXIMUM MINIMUM AIR TEMPERATURE DATA                |
| SHEFSNW  | 362094 | SHEF SNOW DATA                                           |
| SHEFSOG  | 362095 | SHEF STATE OF THE GROUND                                 |
| SHEFP01  | 362096 | SHEF PRECIP DATA FOR  1 HOUR                             |
| SHEFP03  | 362097 | SHEF PRECIP DATA FOR  3 HOURS                            |
| SHEFP06  | 362098 | SHEF PRECIP DATA FOR  6 HOURS                            |
| SHEFP12  | 362099 | SHEF PRECIP DATA FOR 12 HOURS                            |
| SHEFP24  | 362100 | SHEF PRECIP DATA FOR 24 HOURS                            |
| SHEFTPX  | 362111 | SHEF MAX AIR TEMPERATURE DATA                            |
| SHEFTPN  | 362112 | SHEF MIN AIR TEMPERATURE DATA                            |
| SHEFSDP  | 362113 | SHEF SNOW DEPTH ON GROUND DATA                           |
| SHEFSWE  | 362114 | SHEF SNOW WATER EQUIVALENT DATA                          |
| SHEFSFL  | 362115 | SHEF SNOW FALL DATA                                      |
| BID      | 352001 | BULLETIN ID DATA                                         |
|          |        |                                                          |
| WMOB     | 001001 | WMO BLOCK NUMBER                                         |
| WMOS     | 001002 | WMO STATION NUMBER                                       |
| WMOR     | 001003 | WMO REGION NUMBER/GEOGRAPHICAL AREA                      |
| SMID     | 001011 | SHIP OR MOBILE LAND STATION IDENTIFIER                   |
| STSN     | 001015 | STATION OR SITE NAME                                     |
| SSTN     | 001018 | SHORT STATION NAME                                       |
| ICLX     | 001062 | SHORT ICAO LOCATION INDICATOR                            |
| RWID     | 001064 | RUNWAY IDENTIFIER                                        |
| WGOSIDS  | 001125 | WIGOS IDENTIFIER SERIES                                  |
| WGOSISID | 001126 | WIGOS ISSUER OF IDENTIFIER                               |
| WGOSISNM | 001127 | WIGOS ISSUE NUMBER                                       |
| WGOSLID  | 001128 | WIGOS LOCAL IDENTIFIER (CHARACTER)                       |
| RPID     | 001198 | REPORT IDENTIFIER                                        |
| THRPT    | 001199 | TYPE OF HOURLY REPORT                                    |
| WEPRV    | 001220 | WIND ENERGY PROVIDER                                     |
| TOST     | 002001 | TYPE OF STATION                                          |
| TIWM     | 002002 | TYPE OF INSTRUMENTATION FOR WIND MEASUREMENT             |
| MSST     | 002038 | METHOD OF SEA SURFACE TEMPERATURE MEASUREMENT            |
| MWBT     | 002039 | METHOD OF WET BULB TEMPERATURE MEASUREMENT               |
| MOPM     | 002175 | METHOD OF PRECIPITATION MEASUREMENT                      |
| MSGM     | 002176 | METHOD OF STATE OF GROUND MEASUREMENT                    |
